# firn-dom-soak v1 variante=gc
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
0	0	60	0	0	0	0
110	100000	1364	12	47	1310720	507414
218	200000	1364	10	94	1310720	509115
326	300000	1364	8	141	1310720	509115
435	400000	1364	7	189	1310720	510975
547	500000	1364	12	236	1310720	514924
667	600000	1364	10	283	1310720	539895
779	700000	1364	9	331	1310720	539895
893	800000	1364	7	378	1310720	539895
1001	900000	1364	12	425	1310720	539895
1111	1000000	1364	11	473	1310720	539895
1217	1100000	1364	9	520	1310720	539895
1323	1200000	1364	7	567	1310720	539895
1432	1300000	1364	12	614	1310720	539895
1545	1400000	1364	11	662	1310720	539895
1653	1500000	1364	9	709	1310720	539895
1764	1600000	1364	7	756	1310720	561735
1885	1700000	1364	12	804	1310720	561735
1995	1800000	1364	11	851	1310720	561735
2104	1900000	1364	9	898	1310720	561735
2213	2000000	1364	8	946	1310720	561735
2320	2100000	1364	12	993	1310720	561735
2428	2200000	1364	11	1040	1310720	561735
2538	2300000	1364	9	1087	1310720	561735
2653	2400000	1364	8	1135	1310720	561735
2763	2500000	1364	12	1182	1310720	561735
2868	2600000	1364	11	1229	1310720	561735
2975	2700000	1364	10	1277	1310720	561735
3079	2800000	1364	8	1324	1310720	561735
3184	2900000	1364	12	1371	1310720	561735
3300	3000000	1364	12	1419	1310720	597465
3414	3100000	1364	10	1466	1310720	597465
3522	3200000	1364	8	1513	1310720	597465
3629	3300000	1364	12	1560	1310720	618905
3736	3400000	1364	12	1608	1310720	618905
3843	3500000	1364	10	1655	1310720	618905
3950	3600000	1364	8	1702	1310720	618905
4060	3700000	1364	7	1750	1310720	618905
4167	3800000	1364	12	1797	1310720	618905
4271	3900000	1364	10	1844	1310720	618905
4380	4000000	1364	9	1892	1310720	618905
4500	4100000	1364	7	1939	1310720	618905
4617	4200000	1364	12	1986	1310720	618905
4724	4300000	1364	10	2033	1310720	618905
4831	4400000	1364	9	2081	1310720	618905
4937	4500000	1364	7	2128	1310720	618905
5046	4600000	1364	12	2175	1310720	618905
5161	4700000	1364	11	2223	1310720	618905
5266	4800000	1364	9	2270	1310720	618905
5372	4900000	1364	7	2317	1310720	618905
5478	5000000	1364	12	2365	1310720	618905
5584	5100000	1364	11	2412	1310720	618905
5690	5200000	1364	9	2459	1310720	618905
5803	5300000	1364	7	2506	1310720	618905
5907	5400000	1364	12	2554	1310720	618905
6013	5500000	1364	11	2601	1310720	618905
6122	5600000	1364	9	2648	1310720	618905
6241	5700000	1364	8	2696	1310720	618905
6347	5800000	1364	12	2743	1310720	618905
6454	5900000	1364	11	2790	1310720	618905
6560	6000000	1364	10	2838	1310720	618905
6666	6100000	1364	8	2885	1310720	618905
6771	6200000	1364	12	2932	1310720	618905
6876	6300000	1364	11	2979	1310720	618905
6986	6400000	1364	10	3027	1310720	618905
7092	6500000	1364	8	3074	1310720	618905
7198	6600000	1364	12	3121	1310720	618905
7303	6700000	1364	12	3169	1310720	618905
7410	6800000	1364	10	3216	1310720	618905
7518	6900000	1364	8	3263	1310720	618905
7629	7000000	1364	7	3311	1310720	618905
7737	7100000	1364	12	3358	1310720	618905
7846	7200000	1364	10	3405	1310720	618905
7958	7300000	1364	8	3452	1310720	618905
8070	7400000	1364	7	3500	1310720	618905
8175	7500000	1364	12	3547	1310720	618905
8279	7600000	1364	10	3594	1310720	618905
8385	7700000	1364	9	3642	1310720	618905
8493	7800000	1364	7	3689	1310720	618905
8598	7900000	1364	12	3736	1310720	618905
8707	8000000	1364	11	3784	1310720	618905
8812	8100000	1364	9	3831	1310720	618905
8919	8200000	1364	7	3878	1310720	618905
9025	8300000	1364	12	3925	1310720	618905
9137	8400000	1364	11	3973	1310720	618905
9245	8500000	1364	9	4020	1310720	618905
9349	8600000	1364	7	4067	1310720	618905
9456	8700000	1364	12	4115	1310720	618905
9571	8800000	1364	11	4162	1310720	618905
9680	8900000	1364	9	4209	1310720	618905
9790	9000000	1364	8	4257	1310720	618905
9896	9100000	1364	12	4304	1310720	618905
10002	9200000	1364	11	4351	1310720	618905
10109	9300000	1364	9	4398	1310720	618905
10217	9400000	1364	8	4446	1310720	618905
10321	9500000	1364	12	4493	1310720	618905
10426	9600000	1364	11	4540	1310720	618905
10534	9700000	1364	10	4588	1310720	618905
10640	9800000	1364	8	4635	1310720	618905
10752	9900000	1364	12	4682	1310720	618905
10861	10000000	1364	12	4730	1310720	618905
10978	10100000	1364	10	4777	1310720	618905
11087	10200000	1364	8	4824	1310720	618905
11198	10300000	1364	12	4871	1310720	618905
11307	10400000	1364	12	4919	1310720	618905
11412	10500000	1364	10	4966	1310720	618905
