# firn-dom-soak v1 variante=leck
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
0	0	28	0	0	0	0
59	100000	37536	600000	0	38797312	0
115	200000	75040	1200000	0	77594624	0
171	300000	112540	1800000	0	115343360	0
226	400000	150044	2400000	0	154140672	0
280	500000	187544	3000000	0	192937984	0
334	600000	225048	3600000	0	230686720	0
391	700000	262552	4200000	0	269484032	0
446	800000	300052	4800000	0	307232768	0
499	900000	337556	5400000	0	346030080	0
554	1000000	375056	6000000	0	384827392	0
611	1100000	412560	6600000	0	422576128	0
668	1200000	450060	7200000	0	461373440	0
726	1300000	487564	7800000	0	500170752	0
784	1400000	525068	8400000	0	537919488	0
840	1500000	562568	9000000	0	576716800	0
896	1600000	600072	9600000	0	614465536	0
951	1700000	637572	10200000	0	653262848	0
1005	1800000	675076	10800000	0	692060160	0
1059	1900000	712576	11400000	0	729808896	0
1115	2000000	750080	12000000	0	768606208	0
# fertig zyklen=2000000 t_ms=1115 sammellaeufe=0 rss_kib=750080
