# firn-dom-soak v1 variante=gc
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
0	0	124	0	0	0	0
4712	3400000	1696	90	3320	1572864	179201
10534	7400000	1696	112	7226	1572864	402123
16175	11400000	1696	118	11132	1572864	9131985
21937	15400000	1696	106	15038	1572864	9131985
27634	19400000	1696	110	18943	1572864	9131985
33329	23400000	1696	95	22849	1572864	9131985
39093	27400000	1696	91	26755	1572864	9131985
45416	31400000	1696	90	30661	1572864	9131985
51683	35400000	1696	104	34567	1572864	9131985
57795	39400000	1696	104	38473	1572864	9131985
64069	43400000	1696	96	42379	1572864	9131985
70365	47400000	1696	118	46285	1572864	9131985
76653	51400000	1696	96	50191	1572864	9131985
82891	55400000	1696	112	54097	1572864	9131985
89227	59400000	1696	94	58003	1572864	9131985
97579	63400000	1696	103	61909	1572864	10104775
112252	67400000	1696	98	65815	1572864	12147493
121887	71400000	1696	110	69721	1572864	20059637
128214	75400000	1696	96	73627	1572864	20059637
134553	79400000	1696	103	77533	1572864	20059637
140826	83400000	1696	87	81439	1572864	20059637
146486	87400000	1696	106	85345	1572864	20059637
151943	91400000	1696	113	89251	1572864	20059637
158435	95400000	1696	90	93157	1572864	20059637
164942	99400000	1696	113	97063	1572864	20059637
171352	103400000	1696	118	100969	1572864	20059637
177649	107400000	1696	90	104875	1572864	20059637
183913	111400000	1696	87	108781	1572864	20059637
190186	115400000	1696	94	112687	1572864	20059637
200253	119400000	1696	90	116593	1572864	20059637
208376	123400000	1696	113	120499	1572864	20059637
218018	127400000	1696	106	124405	1572864	20059637
223390	131400000	1696	110	128311	1572864	20059637
228848	135400000	1696	113	132217	1572864	20059637
237891	139400000	1696	90	136123	1572864	31113200
243330	143400000	1696	94	140029	1572864	31113200
248922	147400000	1696	113	143935	1572864	31113200
255062	151400000	1696	106	147841	1572864	31113200
260600	155400000	1696	113	151747	1572864	31113200
265900	159400000	1696	90	155653	1572864	31113200
271151	163400000	1696	104	159559	1572864	31113200
276403	167400000	1696	106	163465	1572864	31113200
282000	171400000	1696	91	167371	1572864	31113200
289800	175400000	1696	87	171277	1572864	31113200
300298	179400000	1696	112	175183	1572864	31113200
306571	183400000	1696	96	179089	1572864	31113200
312830	187400000	1696	103	182994	1572864	31113200
319091	191400000	1696	94	186900	1572864	31113200
325472	195400000	1696	104	190806	1572864	31113200
