# firn-dom-soak v1 variante=gc
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
0	0	120	0	0	0	0
16	10000	1692	80	9	1572864	105211
32	20000	1692	114	19	1572864	130021
48	30000	1692	106	29	1572864	130021
62	40000	1692	56	39	1572864	130021
77	50000	1692	74	48	1572864	155411
92	60000	1692	107	58	1572864	155411
106	70000	1692	70	68	1572864	155411
120	80000	1692	92	78	1572864	155411
134	90000	1692	121	87	1572864	155411
148	100000	1692	81	97	1572864	155411
162	110000	1692	80	107	1572864	155411
176	120000	1692	114	117	1572864	155411
190	130000	1692	93	126	1572864	155411
204	140000	1692	68	136	1572864	155411
220	150000	1692	87	146	1572864	183151
234	160000	1692	107	156	1572864	183151
247	170000	1692	70	166	1572864	183151
262	180000	1692	81	175	1572864	208552
278	190000	1692	84	185	1572864	208552
294	200000	1692	91	195	1572864	214912
311	210000	1692	83	205	1572864	214912
327	220000	1692	73	214	1572864	214912
343	230000	1692	91	224	1572864	214912
359	240000	1692	84	234	1572864	214912
376	250000	1692	91	244	1572864	214912
392	260000	1692	80	253	1572864	214912
408	270000	1692	73	263	1572864	214912
425	280000	1692	91	273	1572864	214912
441	290000	1692	84	283	1572864	214912
457	300000	1692	84	292	1572864	214912
473	310000	1692	80	302	1572864	214912
488	320000	1692	92	312	1572864	214912
502	330000	1692	112	322	1572864	214912
516	340000	1692	81	331	1572864	214912
530	350000	1692	80	341	1572864	214912
544	360000	1692	114	351	1572864	214912
557	370000	1692	106	361	1572864	214912
571	380000	1692	56	371	1572864	214912
586	390000	1692	74	380	1572864	214912
599	400000	1692	107	390	1572864	214912
# fertig zyklen=400000 t_ms=599 sammellaeufe=390 rss_kib=1692
