# firn-dom-soak v1 variante=leck
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
0	0	24	0	0	0	0
17	10000	16284	130000	0	16777216	0
34	20000	32536	260000	0	33554432	0
51	30000	48788	390000	0	50331648	0
68	40000	65040	520000	0	67108864	0
84	50000	81292	650000	0	83886080	0
99	60000	97544	780000	0	100663296	0
115	70000	113796	910000	0	117440512	0
131	80000	130048	1040000	0	133169152	0
147	90000	146300	1170000	0	149946368	0
163	100000	162552	1300000	0	166723584	0
179	110000	178804	1430000	0	183500800	0
194	120000	195056	1560000	0	200278016	0
210	130000	211308	1690000	0	217055232	0
226	140000	227560	1820000	0	233832448	0
241	150000	243812	1950000	0	250609664	0
257	160000	260064	2080000	0	266338304	0
272	170000	276316	2210000	0	283115520	0
287	180000	292568	2340000	0	299892736	0
303	190000	308820	2470000	0	316669952	0
318	200000	325072	2600000	0	333447168	0
334	210000	341324	2730000	0	350224384	0
348	220000	357576	2860000	0	367001600	0
364	230000	373828	2990000	0	383778816	0
380	240000	390080	3120000	0	399507456	0
395	250000	406332	3250000	0	416284672	0
410	260000	422584	3380000	0	433061888	0
425	270000	438836	3510000	0	449839104	0
441	280000	455088	3640000	0	466616320	0
456	290000	471340	3770000	0	483393536	0
471	300000	487592	3900000	0	500170752	0
487	310000	503844	4030000	0	516947968	0
502	320000	520096	4160000	0	532676608	0
517	330000	536348	4290000	0	549453824	0
533	340000	552600	4420000	0	566231040	0
547	350000	568852	4550000	0	583008256	0
563	360000	585104	4680000	0	599785472	0
579	370000	601356	4810000	0	616562688	0
594	380000	617608	4940000	0	633339904	0
609	390000	633860	5070000	0	649068544	0
624	400000	650112	5200000	0	665845760	0
639	410000	666364	5330000	0	682622976	0
655	420000	682616	5460000	0	699400192	0
670	430000	698868	5590000	0	716177408	0
685	440000	715120	5720000	0	732954624	0
701	450000	731372	5850000	0	749731840	0
716	460000	747624	5980000	0	766509056	0
732	470000	763876	6110000	0	782237696	0
746	480000	780128	6240000	0	799014912	0
761	490000	796380	6370000	0	815792128	0
777	500000	812632	6500000	0	832569344	0
791	510000	828884	6630000	0	849346560	0
806	520000	845136	6760000	0	866123776	0
822	530000	861388	6890000	0	882900992	0
837	540000	877640	7020000	0	899678208	0
852	550000	893892	7150000	0	915406848	0
867	560000	910144	7280000	0	932184064	0
883	570000	926396	7410000	0	948961280	0
898	580000	942648	7540000	0	965738496	0
913	590000	958900	7670000	0	982515712	0
929	600000	975152	7800000	0	999292928	0
# fertig zyklen=600000 t_ms=929 sammellaeufe=0 rss_kib=975152
