# tools/englisch/hand.tsv — Handentscheidungen fuer GANZE Bezeichner.
# Schlaegt die Morphemtabelle. Zwei Gruende: (a) der Wunschname ist ein
# Schluesselwort von Rust oder Firn, (b) die woertliche Uebersetzung waere
# irrefuehrend (deutsches "Kind" ist ein CHILD, kein "kind").
#
# --- (a) Zielname waere ein Schluesselwort -------------------------------
abstrakt	is_abstract
auffang	has_catch
benutze	use_it
bezug	ref_node
ein	ins
eing	inp
fehler	err
fuer	is_for
konst	constant
nutz	payload
profil	prof
schleife	loop_fn
schluss	closing
selbst	slf
sonst	els
ueberschreibung	overriding
versuche	attempt
wahr	bin_true
zeichen	chars
# --- (b) woertlich waere falsch ------------------------------------------
Weiche	Fork
weichen	forks
nummer	tok_nr
verzeichnis	dirname
sw_schluessel	sw_key_at
vec_zeiger	vec_elem_ptr
gc_ist_gc_zeiger	gc_is_gc_ref
ist_gc_zeiger	is_gc_ref
Ordnunng	Ordr
# deutsches "Kind" = child (nicht das englische "kind"!)
kind_at	child_at
kind_dazu	child_add
kind_anfang	child_start
kind_anzahl	child_count
kind_anhaengen	append_child
kinder_umhaengen	relink_children
erstes_kind	first_child
letztes_kind	last_child
dom_kind	dom_child
dom_kind_anhaengen	dom_append_child
dom_kind_entfernen	dom_remove_child
mus_mu_kind	pat_mu_child
mus_kind_dazu	pat_child_add
kind_bei	child_at
Nutz	Payload
am_ende	at_end
ist	actual
Typ	Type
