abbruch	abort
ablage	store
abschnitt	section
adresse	address
adressen	addresses
adr	addr
akt	cur
alle	all
allokation	allocation
allokationen	allocations
alt	old
anfang	start
anfrage	request
angabe	spec
anhaengen	append
anhalten	stop
anker	anchor
anmelden	register
anweisung	stmt
anzahl	count
arbeit	work
arbeiten	work
art	kind
aufbau	build
aufruf	call
aufrufe	calls
aufrufen	call
aufteilung	layout
ausdruck	expr
ausgabe	output
ausgeben	emit
ausricht	align
ausrichtung	alignment
auspacken	unpack
aussen	outer
bau	build
bauen	build
baum	tree
bedingung	cond
befehl	insn
belegt	used
bereich	range
bereit	ready
beschreibung	desc
bewegen	move
binaer	binary
blatt	leaf
bloecke	blocks
boden	bottom
breite	width
buch	book
buchen	record
dach	roof
darf	may
datei	file
dateien	files
daten	data
dauer	duration
dazu	add
dicht	dense
druck	print
drucke	print
drucken	print
durchgang	pass
durchlauf	pass
ebene	level
eigen	own
eigener	own
eigenes	own
einbetten	inline
eingabe	input
eingang	entry
einheit	unit
einsprung	entry
einstieg	entry
eintrag	entry
eintraege	entries
einzeln	single
element	elem
elemente	elems
eltern	parent
ende	end
entfernen	remove
entsperren	unlock
ergebnis	result
erst	first
erste	first
erwartet	expected
erzeuge	gen
erzeugen	gen
fach	bucket
faden	thread
faeden	threads
fall	case
falsch	wrong
farbe	color
fassade	facade
fehler	error
fehlt	missing
feld	field
felder	fields
fertig	done
fegen	sweep
finde	find
finden	find
fortschritt	progress
frei	free
freigabe	release
freigaben	releases
freigeben	free
freiliste	freelist
funktion	func
funktionen	funcs
ganz	whole
gefunden	found
gemessen	measured
gewicht	weight
gleich	equal
grab	tombstone
grenze	limit
gross	big
groesse	size
grund	basic
haelt	holds
hat	has
haupt	main
heben	raise
hinweis	note
holen	get
inhalt	content
kap	cap
kapazitaet	capacity
kern	core
kette	chain
kinder	children
klasse	class
klassen	classes
kladde	scratch
klein	small
kleiner	less
knoten	node
kopf	header
kopie	copy
kopieren	copy
lade	load
laden	load
laenge	length
laeuft	runs
lauf	run
laufzeit	runtime
lebend	live
lebende	live
leer	empty
leeren	clear
lesen	read
liest	reads
liste	list
loeschen	delete
luecke	gap
markieren	mark
maske	mask
meckern	complain
melden	report
menge	set
messen	measure
mess	meas
messung	measurement
mitte	mid
modul	module
muster	pattern
namen	names
naechst	next
naechster	next
neu	new
neuer	new
nummer	number
oben	top
oktett	byte
oktette	bytes
paar	pair
paket	package
pakete	packages
pause	pause
pfad	path
platz	slot
programm	program
pruefen	check
prueft	checks
puffer	buffer
quelle	source
rahmen	frame
raum	space
rechnen	compute
rechts	right
register	register
reihe	row
rest	rest
roh	raw
rumpf	body
sammeln	collect
sammler	collector
sammlung	collection
sammlungen	collections
schalter	flag
scheibe	slice
schlaegt	fails
schluessel	key
schmal	narrow
schnitt	cut
schnittstelle	interface
schreib	write
schreiben	write
schritt	step
schwach	weak
seite	page
selbst	self
setzen	set
sicht	view
spalte	col
spanne	span
speicher	memory
sperre	lock
sperren	lock
stapel	stack
stark	strong
stelle	site
stellen	digits
stufe	stage
suche	search
suchen	search
summe	sum
tabelle	table
tafel	table
teil	part
teile	parts
teilen	split
tief	deep
tiefe	depth
typ	type
typen	types
uebersetzen	compile
umbruch	break
verbinden	join
vergleich	compare
verweis	ref
verzeichnis	dir
vorlage	template
wachsen	grow
wahl	choice
wandeln	convert
warten	wait
wert	value
werte	values
welt	world
wiederholen	repeat
wort	word
wurzel	root
zahl	number
zaehler	counter
zeichen	char
zeiger	ptr
zeile	line
zeilen	lines
zelle	cell
zeit	time
ziel	target
zustand	state
zyklus	cycle
ablegen	store
anhang	suffix
attribut	attr
beginn	begin
dicht	dense
einfuegen	insert
einzug	indent
fehl	fail
finalisierer	finalizer
fuer	for
gefaerbt	colored
innen	inner
jetzt	now
kopiere	copy
konst	const
lies	read
loesche	delete
meldung	message
modus	mode
nachtragen	catchup
praefix	prefix
punkt	dot
schluss	final
starten	start
strom	stream
suchlauf	scan
tausch	swap
umschalten	toggle
variante	variant
verworfen	discarded
vollstaendig	complete
zaehlen	count
zeigen	show
zuerst	first
zusammen	merge
