Abbruch	Abort
Abhaengigkeit	Dependency
Adresse	Address
Ampel	Light
Anfang	Start
Anzeige	Display
ArcPaar	ArcPair
AstKanon	AstCanon
AtomSchwachverweis	AtomWeakRef
Atomverweis	AtomicRef
Attribut	Attr
Auf	On
Ausfuehrung	Execution
Aussen	Outer
Bau	Build
Baum	Tree
Beides	Both
Beobachter	Observer
Blatt	Leaf
Blau	Blue
Buchstabe	Letter
Ding	Thing
Dokument	Document
Eigen	Own
Eins	One
Eintrag	Entry
Element	Elem
Ende	End
Fall	Case
Farbe	Color
Faul	Lazy
Fehler	Error
Feld	Field
Fertig	Done
Flaeche	Area
Fluss	Flow
Funktion	Func
Geladen	Loaded
Gelb	Yellow
Gemischt	Mixed
GenPaar	GenPair
Griff	Handle
Groesse	Size
Gross	Big
Gruen	Green
Halb	Half
Halter	Holder
Innen	Inner
Kaputt	Broken
Kette	Chain
Klasse	Class
Klein	Small
Klotz	Chunk
Knoten	Node
Kommentar	Comment
Konto	Account
Kreis	Circle
Lauf	Run
LayoutKanon	LayoutCanon
Leer	Empty
LeseFehler	ReadError
Lesen	Read
Loecher	Holes
Lokal	Local
Marke	Mark
Methode	Method
MitFeld	WithField
Mittel	Mid
Modulliste	ModuleList
Mus	Pat
Namen	Names
Negativ	Negative
NichtUnterstuetzt	NotSupported
Nichts	Nothing
Nutz	Payload
Ordnung	Order
Ordnunng	Ordr
Paar	Pair
Paket	Package
Profil	Profile
Pruefer	Checker
Punkt	Dot
Quadrat	Square
Rahmen	Frame
RcPaar	RcPair
RechenFehler	ComputeError
Rechteck	Rect
Regeln	Rules
Reihe	Row
Riesig	Huge
Rot	Red
RotGelb	RedYellow
Sammlung	Collection
Schnittstelle	Interface
Schreiben	Write
Schwachverweis	WeakRef
Spanne	Span
Spur	Trace
Stil	Style
Strang	Strand
Streifen	Stripes
Strom	Stream
Suchraum	SearchSpace
Tafel	Table
Teiler	Divisor
Tor	Gate
Typ	Type
Typen	Types
TypenKanon	TypesCanon
Umsetzung	Impl
Unbekannt	Unknown
Ungerade	Odd
Verschachtelt	Nested
Voll	Full
Wache	Guard
Waechter	Guard
Wartend	Waiting
Weiche	Fork
Weiter	Next
Weitermachen	Resume
Welt	World
Wert	Value
Wertquelle	ValueSource
Zaehler	Counter
Zaehlverweis	RefCount
Zahl	Number
Zeichen	Char
Zeichenfund	CharHit
Zeichner	Drawer
Zeigbar	Showable
Zeilenleser	LineReader
Zeit	Time
Zelle	Cell
Ziel	Target
Ziffer	Digit
Zurueck	Back
Zustand	State
Zuviel	TooMuch
Zwei	Two
__atomar_addieren	__atomic_add
__atomar_tauschen	__atomic_swap
__faden_arbeit	__thread_work
__faden_block_lokal	__thread_block_local
__faden_blockiert_an	__thread_blocked_an
__faden_blockiert_aus	__thread_blocked_out
__faden_einstieg	__thread_entry
__faden_entsperren	__thread_unlock
__faden_entsperren_roh	__thread_unlock_raw
__faden_futex_warten	__thread_futex_wait
__faden_futex_warten_geteilt	__thread_futex_wait_split
__faden_futex_wecken	__thread_futex_wake
__faden_gettid	__thread_gettid
__faden_listen_alle_zurueck	__thread_lists_all_back
__faden_listen_zurueck	__thread_lists_back
__faden_nachfuellen	__thread_refill
__faden_nachgeben	__thread_yield
__faden_parken	__thread_park
__faden_platz_neu	__thread_slot_new
__faden_safepoint	__thread_safepoint
__faden_selbst	__thread_self
__faden_sperren	__thread_lock
__faden_sperren_langsam	__thread_lock_slow
__faden_sperren_roh	__thread_lock_raw
__faden_starten	__thread_start
__faden_tausch	__thread_swap
__faden_tcb	__thread_tcb
__faden_zustand_melden	__thread_state_report
__gc_abbruch	__gc_abort
__gc_alloc_aus	__gc_alloc_out
__gc_alloc_ein	__gc_alloc_in
__gc_alloc_gesperrt	__gc_alloc_locked
__gc_alloc_lokal	__gc_alloc_local
__gc_barrier_zyklus	__gc_barrier_cycle
__gc_block_frei	__gc_block_free
__gc_block_von	__gc_block_of
__gc_chist_buche	__gc_chist_record
__gc_chunk_neu	__gc_chunk_new
__gc_chunk_von	__gc_chunk_of
__gc_eigener_boden	__gc_own_bottom
__gc_fach	__gc_bucket
__gc_faeden_scannen	__gc_threads_scan
__gc_fehler_fin_alloc	__gc_error_fin_alloc
__gc_fehler_fin_collect	__gc_error_fin_collect
__gc_fehler_fin_wieder	__gc_error_fin_again
__gc_felder_nullen	__gc_fields_zeros
__gc_fin_alle	__gc_fin_all
__gc_fin_einen	__gc_fin_a
__gc_fin_einreihen	__gc_fin_enqueue
