# tools/english/manual.tsv — Handentscheidungen fuer GANZE Bezeichner.
# Schlaegt die Morphemtabelle. Zwei Gruende: (a) der Wunschname ist ein
# Schluesselwort von Rust oder Firn, (b) die woertliche Uebersetzung waere
# irrefuehrend (deutsches "Kind" ist ein CHILD, kein "kind").
#
# --- (a) Zielname waere ein Schluesselwort -------------------------------
abstrakt	is_abstract
auffang	has_catch
benutze	use_it
bezug	ref_node
ein	ins
eing	inp
fehler	err
fuer	is_for
konst	constant
nutz	payload
profil	prof
schleife	loop_fn
schluss	closing
selbst	slf
sonst	els
ueberschreibung	overriding
versuche	attempt
wahr	bin_true
zeichen	chars
# --- (b) woertlich waere falsch ------------------------------------------
Weiche	Fork
weichen	forks
nummer	tok_nr
verzeichnis	dirname
sw_schluessel	sw_key_at
vec_zeiger	vec_elem_ptr
gc_ist_gc_zeiger	gc_is_gc_ref
ist_gc_zeiger	is_gc_ref
Ordnunng	Ordr
# deutsches "Kind" = child (nicht das englische "kind"!)
kind_at	child_at
kind_dazu	child_add
kind_anfang	child_start
kind_anzahl	child_count
kind_anhaengen	append_child
kinder_umhaengen	relink_children
erstes_kind	first_child
letztes_kind	last_child
dom_kind	dom_child
dom_kind_anhaengen	dom_append_child
dom_kind_entfernen	dom_remove_child
mus_mu_kind	pat_mu_child
mus_kind_dazu	pat_child_add
kind_bei	child_at
Nutz	Payload
am_ende	at_end
ist	actual
Typ	Type
loop_counter_lands_im_register	loop_counter_lands_in_a_register
im	imp
KEIN	NONE
GRUND	BASE
GRUNDZEIT	BASE_TIME
INKR_AB	INCR_FROM
range_zu	range_off
defer_level_zu	defer_level_off
loc_zu	loc_off
frame_zu	frame_off
error_busy_zu	error_busy_off
gen_depth_zu	gen_depth_off
membership_zu_a_package	membership_to_a_package
tok_attr_was_duplicate	tok_attr_was_duplicate
text_zu_f64	text_to_f64
text_zu_f64_bits	text_to_f64_bits
text_zu_i64	text_to_i64
text_zu_u64	text_to_u64
text_zu_u64_auto	text_to_u64_auto
text_zu_u64_base	text_to_u64_base
um_pos	sw_pos
um_tag	sw_tag
tree_um_pos	tree_sw_pos
tree_um_tag	tree_sw_tag
tree_um_delete	tree_sw_delete
Zu	Off
LANG_NAME	LANG_NAME
LANG_NAME_LOWER	LANG_NAME_LOWER
kasten	frame_box
um	around
knoten_art	node_type
anfang	begin
anzeige	disp
kette	chain_list
nach	to
neu	fresh
raus	outside
schlecht	wrong
starten	launch
war	prev
Halter1	Holder1
Halter2	Holder2
Halter3	Holder3
Halter4	Holder4
blatt3	sheet3
blatt4	sheet4
blatt5	sheet5
dauer2	duration2
eltern17	parents17
eltern2	parents2
ende0	end0
ende1	end1
ende2	end2
ende3	end3
fremd10	foreign10
fremd11	foreign11
grund10	ground10
grund65	ground65
hoch24	high24
innen15	inner15
kette17	chain17
nach2	to2
nach3	to3
seite2	side2
tief16	deep16
tief17	deep17
ueber15	over15
ueber2	over2
unten2	below2
zeile2	row2
mat_drehe_um	mat_rotate_around
reihen_um	rows_around
zu_bild	to_image
svg_zu_bild	svg_to_image
fenster_zu	window_close
fenster_auf	window_open
schl	sw_key
sag_beschnitten	say_clipped
auf_fenster_da	on_window_present
schicht_da	layer_present
kasten_da	box_present
auf_fenster_weg	on_window_gone
bogen_an	arc_at
knick_an	kink_at
leiste_an	bar_at
bild2	image2
kasten2	box2
regel1_gc_allocation_is_forbidden	rule1_gc_allocation_is_forbidden
regel2_call_without_no_gc_is_forbidden	rule2_call_without_no_gc_is_forbidden
regel2_marked_call_is_allowed	rule2_marked_call_is_allowed
regel3_assign_an_local_mutable_is_allowed	rule3_assign_an_local_mutable_is_allowed
regel3_write_in_gc_field_is_forbidden	rule3_write_in_gc_field_is_forbidden
