abasis	abase
abbilden	map
abbruch	abort
abgebrochen	aborted
abgedeckt	covered
abgelehnt	rejected
abh	dep
abhaengen	detach
abhaengig	dependent
abhaengiger	dependent
abhaengigkeit	dependency
abhaengigkeiten	dependencies
abhdop	dep_dup
ablage	store
ablegen	store
abmelden	unregister
abschalten	disable
abschnitt	section
absolut	absolute
absolute	absolute
absoluter	absolute
abstand	distance
abstrakt	abstract
acht	eight
addieren	add
adr	addr
adresse	address
adressen	addresses
adressrechnung	addressing
aendere	change
aendert	changes
aggregat	aggregate
ahn	ancestor
akt	cur
aktiv	active
aktueller	current
algebraische	algebraic
alle	all
allein	alone
alles	everything
allgemein	general
allokation	allocation
allokationen	allocations
alphanumerisch	alphanumeric
als	as
alt	old
alter	age
altkap	oldcap
ampel	light
andere	other
anderer	other
anderes	other
anfang	start
anfordern	request
anfrage	request
angabe	spec
angleichen	align
anhaengen	append
anhalten	stop
anhang	suffix
anker	anchor
anlegen	create
anmelden	register
anstehend	pending
anweisung	stmt
anwendung	app
anz	cnt
anza	cnt
anzahl	count
anzeige	display
arbeit	work
arbeiten	work
arbeitsbytes	work_bytes
arbeitsverz	work_dir
arbeitsverzeichnis	work_dir
argumente	args
argumenten	args
argzahl	arg_count
arithmetik	arithmetic
art	kind
assoziativ	associative
atleast	at_least
atomar	atomic
atome	atoms
atomverweis	atomic_ref
attribut	attr
auch	also
auf	on
aufbau	build
auffang	catch
auffangfall	catch_arm
auffrischen	refresh
aufgeben	give_up
aufgeloest	resolved
aufloesen	resolve
aufraeumen	cleanup
aufruf	call
aufrufe	calls
aufrufen	call
aufrunden	round_up
aufteilung	layout
auftraege	jobs
aufwaendig	costly
aufwaerts	upward
aufwerten	promote
aus	out
ausdruck	expr
ausdruecke	exprs
ausfuehrung	execution
ausg	outb
ausgabe	output
ausgeben	emit
ausgerichtet	aligned
auspacken	unpack
auspraegen	instantiate
auspraegung	instance
ausricht	align
ausrichtung	alignment
ausschreiben	spellout
ausschuetten	flush
aussen	outer
aussenpfad	outer_path
ausser	except
ausserhalb	outside
austypen	infer
auswerten	eval
barriere	barrier
basis	base
bau	build
baue	build
bauen	build
baum	tree
bed	cond
bedingt	conditional
bedingung	cond
beende	finish
beendet	finished
befehl	insn
befoerdert	promoted
befunde	findings
beginn	begin
beginnt	starts
bei	at
beides	both
beim	at
beispiel	example
beispiele	demos
bekannt	known
bekommen	get
belegen	occupy
belegt	used
belegte	used
benannt	named
benutze	use
beob	observer
beobachter	observer
bereich	range
bereit	ready
beschreibung	desc
besser	better
beste	best
