AF_FAEDEN	AF_THREADS
AF_FEHLER	AF_ERROR
AF_ROH	AF_RAW
AF_RUNDEN	AF_ROUNDS
AKTIV	ACTIVE
ANZAHL	COUNT
ANZAHL_KLEINBUCHSTABEN	COUNT_LOWERCASE
ARC_KLASSE0	ARC_CLASS0
ARC_KLASSEN	ARC_CLASSES
ARC_KOPF	ARC_HEADER
ART_GRENZE	KIND_LIMIT
ART_MAX	KIND_MAX
ART_ZU_GROSS	KIND_TOO_BIG
A_AUS	A_OUT
A_FERTIG	A_DONE
BREITE	WIDTH
CHUNK_KOPF	CHUNK_HEADER
CPU_UHR	CPU_CLOCK
DOM_ART_ELEMENT	DOM_KIND_ELEM
DOM_ART_KNOTEN	DOM_KIND_NODE
DOM_ART_TEXT	DOM_KIND_TEXT
DOM_OBJEKTE_JE_SATZ	DOM_OBJECTS_PER_SET
DOPPELT	DUPLICATE
EINSTIEG	ENTRY
EM_NACH_BODY	EM_AFTER_BODY
EM_NACH_FRAMESET	EM_AFTER_FRAMESET
EM_NACH_HEAD	EM_AFTER_HEAD
EM_NACH_NACH_BODY	EM_AFTER_AFTER_BODY
EM_NACH_NACH_FRAMESET	EM_AFTER_AFTER_FRAMESET
EM_VOR_HEAD	EM_BEFORE_HEAD
EM_VOR_HTML	EM_BEFORE_HTML
E_FELD	E_FIELD
E_RUF	E_CALL
FADEN_MAX	THREAD_MAX
FADEN_MINUS1	THREAD_MINUS1
FAEDEN	THREADS
FAK10	FACT10
FEHLER_AUS_FEHLER	ERROR_OUT_ERROR
FEHLER_AUS_WERT	ERROR_OUT_VALUE
FLAECHE	AREA
FLAGGE	FLAG
FN_FADEN	FN_THREAD
FN_STARK	FN_STRONG
FT_ART	FT_KIND
FT_BODEN	FT_BOTTOM
FT_ERG	FT_RES
FT_FREI	FT_FREE
FT_SELBST	FT_SELF
FT_STAPEL	FT_STACK
FT_ZUSTAND	FT_STATE
FUTEX_WARTEN	FUTEX_WAIT
FUTEX_WECKEN	FUTEX_WAKE
F_ELTERN	F_PARENT
F_FREI	F_FREE
F_KINDER	F_CHILDREN
F_NAECHST	F_NEXT
F_PUFFER	F_BUFFER
F_WEITER	F_NEXT
F_WERT	F_VALUE
F_WURZEL	F_ROOT
F_ZAEHLER	F_COUNTER
F_ZIEL	F_TARGET
GCMAP_GRAB	GCMAP_TOMBSTONE
GCMAP_LEER	GCMAP_EMPTY
GCTEXT_ALLE	GCTEXT_ALL
GCVEC_DESC_ROH	GCVEC_DESC_RAW
GCVEC_DESC_ZEIGER	GCVEC_DESC_PTR
GESPERRT	LOCKED
GROESSE	SIZE
GRUND	BASE
GRUNDZEIT	BASE_TIME
HIST_TYPEN	HIST_TYPES
HOEHE	HEIGHT
H_ENDE	H_END
H_FREI	H_FREE
H_LEBENDE	H_LIVE
INKR_AB	INCR_FROM
KA_BELEGT	KA_USED
KA_DATEN	KA_DATA
KA_KAP	KA_CAP
KA_KOPF	KA_HEADER
KA_SCHWANZ	KA_TAIL
KA_SPERRE	KA_LOCK
KEIN	NONE
KEINE_BREITE	NO_WIDTH
KEINE_NUMMER	NO_NUMBER
KEIN_REG	NO_REG
KENNUNG	ID
KETTE	CHAIN
KINDER	CHILDREN
KLASSEN	CLASSES
KLASSE_MEM	CLASS_MEM
KOPF	HEADER
K_DOKUMENT	K_DOCUMENT
K_ELEMENT	K_ELEM
K_FEHLER	K_ERROR
K_KOMMENTAR	K_COMMENT
LANG_NAME	LONG_NAME
LANG_NAME_LOWER	LONG_NAME_LOWER
LAUFZEIT	RUNTIME
LAUFZEIT_ABFRAGE	RUNTIME_QUERY
LAUFZEIT_DRIN	RUNTIME_INSIDE
LAUFZEIT_MAP	RUNTIME_MAP
LAUFZEIT_PFAD	RUNTIME_PATH
LAUFZEIT_SAMMELT	RUNTIME_COLLECTS
LAUFZEIT_VEC	RUNTIME_VEC
LEBEND	LIVE
LOKAL	LOCAL
MAX_AKTIV	MAX_ACTIVE
MAX_BEREICH_MARKEN	MAX_RANGE_MARKS
MAX_GRENZE	MAX_LIMIT
MAX_OFFEN	MAX_OPEN
MAX_REGISTER_AGGREGAT	MAX_REGISTER_AGGREGATE
MAX_SCHRITTE	MAX_STEPS
MAX_TIEFE	MAX_DEPTH
MIN_GRENZE	MIN_LIMIT
MMIO_LESEN	MMIO_READ
MMIO_SCHREIBEN	MMIO_WRITE
MODUS_BEGRENZT	MODE_LIMITED
MODUS_KEIN_QUIRKS	MODE_NO_QUIRKS
MODUS_QUIRKS	MODE_QUIRKS
MUELL	GARBAGE
MU_BEREICH	MU_RANGE
M_LETZTES_FEST	M_LAST_FIXED
M_MARKE	M_MARK
M_OHNE_MARKE	M_WITHOUT_MARK
NICHTS	NOTHING
OFF_DATEN	OFF_DATA
OFF_NAMEN	OFF_NAMES
OFF_TAFEL	OFF_TABLE
OFF_WERT	OFF_VALUE
O_ANHAENGEN	O_APPEND
O_NUR_LESEN	O_ONLY_READ
O_SCHREIB	O_WRITE
PAARE	PAIRS
P_NEU	P_NEW
P_RUF	P_CALL
P_TYP	P_TY
P_TYP_PUB	P_TY_PUB
QUELLE_LEN	SOURCE_LEN
RC_KLASSE0	RC_CLASS0
RC_KLASSEN	RC_CLASSES
RC_KOPF	RC_HEADER
REF_FEHLER	REF_ERROR
RUNDEN	ROUNDS
RUNDEN_A	ROUNDS_A
RUNDEN_B	ROUNDS_B
SCHEIBE_SWEEP	SLICE_SWEEP
SCHEIBE_TRACE	SLICE_TRACE
SCHRANKE_ANY	BOUND_ANY
SCHRANKE_IFACE	BOUND_IFACE
SCHRANKE_INT	BOUND_INT
SCHRANKE_SCALAR	BOUND_SCALAR
SC_LISTE	SC_LIST
SC_TABELLE	SC_TABLE
SEITE	PAGE
SELBST	SELF
SLOT_KOPF	SLOT_HEADER
SLOT_SCHEIBE	SLOT_SLICE
STAPEL	STACK
STAPEL_BYTES	STACK_BYTES
STRANG_ZEICHEN	STRAND_CHAR
STREU_START	HASH_START
SYS_SCHLIESSEN	SYS_CLOSE
S_BODEN	S_BOTTOM
S_FADEN_GES	S_THREAD_TOTAL
S_FADEN_MAX	S_THREAD_MAX
S_FADEN_N	S_THREAD_N
S_FADEN_TAB	S_THREAD_TAB
S_FIN_LAEUFE	S_FIN_RUNS
S_FREI	S_FREE
S_GESAMT	S_TOTAL
S_GRENZE	S_LIMIT
S_HAUPT	S_MAIN
S_LAEUFE	S_RUNS
S_LEBBYTES	S_LIVEBYTES
S_LEBENDE	S_LIVE
S_LOKAL	S_LOCAL
S_LOKAL_N	S_LOCAL_N
S_PMAX_ENDE	S_PMAX_END
