# tools/english/strings.tsv — Zeichenketten, die GENAU EIN NAME sind und
# deshalb mit dem Bezeichner mitwandern muessen: Laufzeitsymbole, eingebaute
# Funktionen, Manifest-Schluessel, Befehlszeilenschalter, Testprogramme in
# den Rust-Modultests. Ein angehaengtes "\0" bleibt erhalten.
# Prosa (Fehlermeldungen) steht NICHT hier.
__atomar_addieren	__atomic_add
__atomar_tauschen	__atomic_swap
__faden_arbeit	__thread_work
__faden_einstieg	__thread_entry
__faden_selbst	__thread_self
__faden_starten	__thread_start
__gc_finalisiere	__gc_finalize
stark	strong
gc_neu	gc_new
gc_wurzel_anmelden	gc_root_register
gc_finalisierer_setzen	gc_finalizer_set
gcmap_setzen	gcmap_set
gcvec_anhaengen	gcvec_append
datei_byte	file_byte
datei_groesse	file_size
emit_roh	emit_raw
emit_zahl	emit_number
fmt_neu	fmt_new
fmt_zahl	fmt_number
io.fmt_neu	io.fmt_new
io.fmt_zahl	io.fmt_number
paket	package
quelle	source
oeffentlich	public
brauche	needs
firn.paket	firn.package
--paket	--package
--paket-info	--package-info
--objekt	--object
typen	types
ast-kanon	ast-canon
_F0.quadrat	_F0.square
quadrat	square
summe	sum
fak	fact
heiss	hot
kalt	cold
knoten	node
basis	base
daten	data
tafel	table
gibtesnicht	does_not_exist
kaputt	broken
leer	empty
fremd	foreign
innen	inner
spaeter	later
hallo	hello
zyklen	cycles
schreiben	write
freistehend.	freestanding.
