Abbruch	Abort
Ablage	Store
Ablegen	Store
Abschnitt	Section
Adresse	Address
Adressen	Addresses
Alle	All
Allokation	Allocation
Allokationen	Allocations
Anfang	Start
Anfrage	Request
Angabe	Spec
Anhaengen	Append
Anhalten	Stop
Anweisung	Stmt
Anzahl	Count
Arbeit	Work
ArcPaar	ArcPair
Art	Kind
Attribut	Attr
Aufbau	Build
Aufruf	Call
Aufrufe	Calls
Aufrufen	Call
Aufteilung	Layout
Ausdruck	Expr
Ausgabe	Output
Ausgeben	Emit
Ausrichtung	Alignment
Aussen	Outer
Bau	Build
Bauen	Build
Baum	Tree
Bedingung	Cond
Befehl	Insn
Beginn	Begin
Bereich	Range
Beschreibung	Desc
Blatt	Leaf
Bloecke	Blocks
Boden	Bottom
Breite	Width
Buch	Book
Dach	Roof
Darf	May
Datei	File
Dateien	Files
Daten	Data
Dauer	Duration
Dazu	Add
Druck	Print
Durchgang	Pass
Durchlauf	Pass
Ebene	Level
Eigen	Own
Eigener	Own
Eigenes	Own
Einbetten	Inline
Einfuegen	Insert
Eingabe	Input
Einheit	Unit
Einsprung	Entry
Einstieg	Entry
Eintraege	Entries
Eintrag	Entry
Element	Elem
Elemente	Elems
Eltern	Parent
Ende	End
Entfernen	Remove
Ergebnis	Result
Erst	First
Erste	First
Erwartet	Expected
Fach	Bucket
Faden	Thread
Faeden	Threads
Fall	Case
Farbe	Color
Fassade	Facade
Fegen	Sweep
Fehl	Fail
Fehler	Error
Fehlt	Missing
Feld	Field
Felder	Fields
Fertig	Done
Finalisierer	Finalizer
Fortschritt	Progress
Freigabe	Release
Freigaben	Releases
Freigeben	Free
Freiliste	Freelist
Fuer	For
Funktion	Func
Funktionen	Funcs
Gefunden	Found
Gemessen	Measured
GenPaar	GenPair
Gewicht	Weight
Grenze	Limit
Groesse	Size
Gross	Big
Grund	Basic
Haelt	Holds
Hat	Has
Heben	Raise
Hinweis	Note
Holen	Get
Inhalt	Content
Innen	Inner
Jetzt	Now
Kapazitaet	Capacity
Kern	Core
Kette	Chain
Kinder	Children
Kladde	Scratch
Klasse	Class
Klassen	Classes
Klein	Small
Kleiner	Less
Knoten	Node
Kopf	Header
