# firn-gc-fragment v1
# spalten: runde	rss_kib	heap_bytes	lebende	sammellaeufe
0	308	262144	0	0
1	564	524288	0	0
2	820	786432	0	0
3	1076	1048576	0	0
4	1332	1310720	0	0
5	1844	1835008	0	0
6	1844	1835008	0	0
7	1844	1835008	0	0
8	1844	1835008	0	0
9	1844	1835008	0	0
10	2100	2097152	0	0
11	2632	2621440	1209	1
12	2632	2621440	1209	1
13	2632	2621440	1209	1
14	2632	2621440	1209	1
15	2632	2621440	1209	1
16	2632	2621440	1209	1
17	2888	2883584	1372	2
18	2888	2883584	1372	2
19	2888	2883584	1372	2
20	2888	2883584	1372	2
21	2888	2883584	1372	2
22	2888	2883584	1372	2
23	2888	2883584	1372	2
24	2888	2883584	1372	2
25	2888	2883584	1372	2
26	2888	2883584	1372	2
27	2888	2883584	1372	2
28	2888	2883584	1385	3
29	2888	2883584	1385	3
30	2888	2883584	1385	3
31	2888	2883584	1385	3
32	2888	2883584	1385	3
33	2888	2883584	1385	3
34	2888	2883584	1385	3
35	2888	2883584	1354	4
36	2888	2883584	1354	4
37	2888	2883584	1354	4
38	2888	2883584	1354	4
39	2888	2883584	1354	4
40	2888	2883584	1354	4
41	2888	2883584	1354	4
42	2888	2883584	1354	4
43	2888	2883584	1354	4
44	2888	2883584	1354	4
45	2888	2883584	1354	4
46	2888	2883584	1293	5
47	2888	2883584	1293	5
48	2888	2883584	1293	5
49	2888	2883584	1293	5
50	2888	2883584	1293	5
51	2888	2883584	1293	5
52	2888	2883584	1293	5
53	2888	2883584	1319	6
54	2888	2883584	1319	6
55	2888	2883584	1319	6
56	2888	2883584	1319	6
57	2888	2883584	1319	6
58	2888	2883584	1319	6
59	2888	2883584	1319	6
60	2888	2883584	1319	6
61	2888	2883584	1319	6
62	2888	2883584	1319	6
63	2888	2883584	1399	7
64	2888	2883584	1399	7
65	2888	2883584	1399	7
66	2888	2883584	1399	7
67	2888	2883584	1399	7
68	2888	2883584	1399	7
69	2888	2883584	1399	7
70	2888	2883584	1399	7
71	2888	2883584	1283	8
72	2888	2883584	1283	8
73	2888	2883584	1283	8
74	2888	2883584	1283	8
75	2888	2883584	1283	8
76	2888	2883584	1283	8
77	2888	2883584	1283	8
78	2888	2883584	1283	8
79	2888	2883584	1283	8
80	2888	2883584	1283	8
81	2888	2883584	1213	9
82	2888	2883584	1213	9
83	2888	2883584	1213	9
84	2888	2883584	1213	9
85	2888	2883584	1213	9
86	2888	2883584	1213	9
87	2888	2883584	1213	9
88	2888	2883584	1213	9
89	2632	2621440	1247	10
90	2632	2621440	1247	10
91	2632	2621440	1247	10
92	2632	2621440	1247	10
93	2632	2621440	1247	10
94	2632	2621440	1247	10
95	2888	2883584	1247	10
96	2632	2621440	1384	11
97	2632	2621440	1384	11
98	2632	2621440	1384	11
99	2632	2621440	1384	11
100	2632	2621440	1384	11
101	2632	2621440	1384	11
102	2632	2621440	1384	11
103	2632	2621440	1384	11
104	2632	2621440	1384	11
105	2632	2621440	1384	11
106	2632	2621440	1384	11
107	2632	2621440	1348	12
108	2632	2621440	1348	12
109	2632	2621440	1348	12
110	2632	2621440	1348	12
111	2632	2621440	1348	12
112	2632	2621440	1348	12
113	2888	2883584	1508	13
114	2888	2883584	1508	13
115	2888	2883584	1508	13
116	2888	2883584	1508	13
117	2888	2883584	1508	13
118	2888	2883584	1508	13
119	2888	2883584	1508	13
120	2888	2883584	1508	13
121	2888	2883584	1508	13
122	2888	2883584	1508	13
123	2888	2883584	1508	13
124	2888	2883584	1530	14
125	2888	2883584	1530	14
126	2888	2883584	1530	14
127	2888	2883584	1530	14
128	2888	2883584	1530	14
129	2888	2883584	1530	14
130	2888	2883584	1530	14
131	2888	2883584	1493	15
132	2888	2883584	1493	15
133	2888	2883584	1493	15
134	2888	2883584	1493	15
135	2888	2883584	1493	15
136	2888	2883584	1493	15
137	2888	2883584	1493	15
138	2888	2883584	1493	15
139	2888	2883584	1493	15
140	2888	2883584	1493	15
141	2888	2883584	1493	15
142	2888	2883584	1451	16
143	2888	2883584	1451	16
144	2888	2883584	1451	16
145	2888	2883584	1451	16
146	2888	2883584	1451	16
147	2888	2883584	1451	16
148	2888	2883584	1451	16
149	2888	2883584	1463	17
150	2888	2883584	1463	17
151	2888	2883584	1463	17
152	2888	2883584	1463	17
153	2888	2883584	1463	17
154	2888	2883584	1463	17
155	2888	2883584	1463	17
