# firn-gc-phasen v1
# spalten: runde	phase	rss_kib	heap_bytes	lebende	sammellaeufe
0	1	556	524288	0	0
1	1	1068	1048576	0	0
2	1	1344	1310720	510	1
3	1	1856	1835008	510	1
4	1	2112	2097152	510	1
5	1	2624	2621440	1022	2
6	1	3136	3145728	1022	2
7	1	3392	3407872	1022	2
8	1	3904	3932160	1022	2
9	1	4160	4194304	1022	2
10	1	4672	4718592	2048	3
11	1	5184	5242880	2048	3
12	1	5440	5505024	2048	3
13	1	5952	6029312	2048	3
14	1	6208	6291456	2048	3
15	1	6720	6815744	2048	3
16	1	6976	7077888	2048	3
17	1	7488	7602176	2048	3
18	1	8000	8126464	2048	3
19	1	8256	8388608	2048	3
20	1	8768	8912896	4089	4
21	1	9024	9175040	4089	4
22	1	9536	9699328	4089	4
23	1	10048	10223616	4089	4
24	1	10304	10485760	4089	4
25	1	10816	11010048	4089	4
26	1	11072	11272192	4089	4
27	1	11584	11796480	4089	4
28	1	12096	12320768	4089	4
29	1	12352	12582912	4089	4
30	1	12608	12845056	4932	5
31	1	12608	12845056	4932	5
32	1	12608	12845056	4932	5
33	1	12608	12845056	4932	5
34	1	12608	12845056	4932	5
35	1	12608	12845056	4932	5
36	1	12864	13107200	4932	5
37	1	13120	13369344	4932	5
38	1	13632	13893632	4932	5
39	1	13888	14155776	4932	5
40	1	14400	14680064	4975	6
41	1	14400	14680064	4975	6
42	1	14400	14680064	4975	6
43	1	14400	14680064	4975	6
44	1	14400	14680064	4975	6
45	1	14400	14680064	4975	6
46	1	14400	14680064	4975	6
47	1	14400	14680064	4975	6
48	1	14400	14680064	4975	6
49	1	14400	14680064	4975	6
50	1	14400	14680064	4975	6
51	1	14400	14680064	4818	7
52	1	14400	14680064	4818	7
53	1	14400	14680064	4818	7
54	1	14400	14680064	4818	7
55	1	14400	14680064	4818	7
56	1	14400	14680064	4818	7
57	1	14400	14680064	4818	7
58	1	14400	14680064	4818	7
59	1	14400	14680064	4818	7
60	1	14400	14680064	4818	7
61	1	14400	14680064	4861	8
62	1	14400	14680064	4861	8
63	1	14400	14680064	4861	8
64	1	14400	14680064	4861	8
65	1	14400	14680064	4861	8
66	1	14400	14680064	4861	8
67	1	14400	14680064	4861	8
68	1	14400	14680064	4861	8
69	1	14400	14680064	4861	8
70	1	14400	14680064	4861	8
71	1	14400	14680064	4904	9
72	1	14400	14680064	4904	9
73	1	14400	14680064	4904	9
74	1	14400	14680064	4904	9
75	1	14400	14680064	4904	9
76	1	14400	14680064	4904	9
77	1	14400	14680064	4904	9
78	1	14400	14680064	4904	9
79	1	14400	14680064	4904	9
80	1	14400	14680064	4904	9
81	1	14400	14680064	4947	10
82	1	14400	14680064	4947	10
83	1	14400	14680064	4947	10
84	1	14400	14680064	4947	10
85	1	14400	14680064	4947	10
86	1	14400	14680064	4947	10
87	1	14400	14680064	4947	10
88	1	14400	14680064	4947	10
89	1	14400	14680064	4947	10
90	1	14400	14680064	4947	10
91	1	14400	14680064	4990	11
92	1	14400	14680064	4990	11
93	1	14400	14680064	4990	11
94	1	14400	14680064	4990	11
95	1	14400	14680064	4990	11
96	1	14400	14680064	4990	11
97	1	14400	14680064	4990	11
98	1	14400	14680064	4990	11
99	1	14400	14680064	4990	11
100	1	14400	14680064	4990	11
101	1	14400	14680064	4990	11
102	1	14400	14680064	4833	12
103	1	14400	14680064	4833	12
104	1	14400	14680064	4833	12
105	1	14400	14680064	4833	12
106	1	14400	14680064	4833	12
107	1	14400	14680064	4833	12
108	1	14400	14680064	4833	12
109	1	14400	14680064	4833	12
110	1	14400	14680064	4833	12
111	1	14400	14680064	4833	12
112	1	14400	14680064	4876	13
113	1	14400	14680064	4876	13
114	1	14400	14680064	4876	13
115	1	14400	14680064	4876	13
116	1	14400	14680064	4876	13
117	1	14400	14680064	4876	13
118	1	14400	14680064	4876	13
119	1	14400	14680064	4876	13
120	1	14400	14680064	4876	13
121	1	14400	14680064	4876	13
122	1	14400	14680064	4919	14
123	1	14400	14680064	4919	14
124	1	14400	14680064	4919	14
125	1	14400	14680064	4919	14
126	1	14400	14680064	4919	14
127	1	14400	14680064	4919	14
128	1	14400	14680064	4919	14
129	1	14400	14680064	4919	14
130	1	14400	14680064	4919	14
131	1	14400	14680064	4919	14
132	1	14400	14680064	4962	15
133	1	14400	14680064	4962	15
134	1	14400	14680064	4962	15
135	1	14400	14680064	4962	15
