# firn-gc-pause-gross v1
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
1	1000	10324	105065	4	10485760	11673898
2	2000	10836	105065	4	11010048	11673898
2	3000	11348	105065	4	11534336	11673898
3	4000	11860	105065	4	12058624	11673898
4	5000	12372	105065	4	12582912	11673898
4	6000	12884	105065	4	13107200	11673898
66	7000	13140	120248	5	13369344	11673898
66	8000	13140	120248	5	13369344	11673898
67	9000	13140	120248	5	13369344	11673898
67	10000	13140	120248	5	13369344	11673898
68	11000	13140	120248	5	13369344	11673898
68	12000	13140	120248	5	13369344	11673898
68	13000	13140	120248	5	13369344	11673898
69	14000	13652	120248	5	13893632	11673898
137	15000	12884	120257	6	13107200	11673898
138	16000	12884	120257	6	13107200	11673898
138	17000	12884	120257	6	13107200	11673898
139	18000	12884	120257	6	13107200	11673898
139	19000	12884	120257	6	13107200	11673898
140	20000	13140	120257	6	13369344	11673898
140	21000	13396	120257	6	13631488	11673898
141	22000	13652	120257	6	13893632	11673898
142	23000	13908	120257	6	14155776	11673898
209	24000	13396	120261	7	13631488	11673898
209	25000	13396	120261	7	13631488	11673898
210	26000	13396	120261	7	13631488	11673898
210	27000	13396	120261	7	13631488	11673898
210	28000	13396	120261	7	13631488	11673898
211	29000	13396	120261	7	13631488	11673898
211	30000	13396	120261	7	13631488	11673898
212	31000	13652	120261	7	13893632	11673898
278	32000	12884	120265	8	13107200	11673898
278	33000	12884	120265	8	13107200	11673898
279	34000	12884	120265	8	13107200	11673898
279	35000	12884	120265	8	13107200	11673898
279	36000	12884	120265	8	13107200	11673898
280	37000	13140	120265	8	13369344	11673898
281	38000	13396	120265	8	13631488	11673898
281	39000	13908	120265	8	14155776	11673898
282	40000	14164	120265	8	14417920	11673898
349	41000	13396	120262	9	13631488	11673898
350	42000	13396	120262	9	13631488	11673898
350	43000	13396	120262	9	13631488	11673898
350	44000	13396	120262	9	13631488	11673898
351	45000	13396	120262	9	13631488	11673898
351	46000	13396	120262	9	13631488	11673898
352	47000	13652	120262	9	13893632	11673898
352	48000	13652	120262	9	13893632	11673898
419	49000	13396	120261	10	13631488	11673898
419	50000	13396	120261	10	13631488	11673898
420	51000	13396	120261	10	13631488	11673898
420	52000	13396	120261	10	13631488	11673898
421	53000	13396	120261	10	13631488	11673898
421	54000	13396	120261	10	13631488	11673898
422	55000	13652	120261	10	13893632	11673898
422	56000	13908	120261	10	14155776	11673898
423	57000	14164	120261	10	14417920	11673898
490	58000	13396	120265	11	13631488	11673898
491	59000	13396	120265	11	13631488	11673898
491	60000	13396	120265	11	13631488	11673898
492	61000	13396	120265	11	13631488	11673898
492	62000	13396	120265	11	13631488	11673898
492	63000	13396	120265	11	13631488	11673898
493	64000	13652	120265	11	13893632	11673898
493	65000	13908	120265	11	14155776	11673898
561	66000	13140	120257	12	13369344	11673898
562	67000	13140	120257	12	13369344	11673898
564	68000	13140	120257	12	13369344	11673898
565	69000	13140	120257	12	13369344	11673898
565	70000	13140	120257	12	13369344	11673898
566	71000	13396	120257	12	13631488	11673898
566	72000	13652	120257	12	13893632	11673898
567	73000	13908	120257	12	14155776	11673898
569	74000	14164	120257	12	14417920	11673898
633	75000	13396	120262	13	13631488	11673898
633	76000	13396	120262	13	13631488	11673898
634	77000	13396	120262	13	13631488	11673898
634	78000	13396	120262	13	13631488	11673898
634	79000	13396	120262	13	13631488	11673898
635	80000	13396	120262	13	13631488	11673898
635	81000	13652	120262	13	13893632	11673898
636	82000	13652	120262	13	13893632	11673898
701	83000	13140	120261	14	13369344	11673898
701	84000	13140	120261	14	13369344	11673898
702	85000	13140	120261	14	13369344	11673898
702	86000	13140	120261	14	13369344	11673898
702	87000	13140	120261	14	13369344	11673898
703	88000	13140	120261	14	13369344	11673898
703	89000	13396	120261	14	13631488	11673898
704	90000	13652	120261	14	13893632	11673898
733	91000	13908	120261	14	14155776	11673898
772	92000	13140	120265	15	13369344	11673898
772	93000	13140	120265	15	13369344	11673898
773	94000	13140	120265	15	13369344	11673898
773	95000	13140	120265	15	13369344	11673898
774	96000	13140	120265	15	13369344	11673898
774	97000	13140	120265	15	13369344	11673898
774	98000	13396	120265	15	13631488	11673898
775	99000	13652	120265	15	13893632	11673898
839	100000	12884	120262	16	13107200	11673898
840	101000	12884	120262	16	13107200	11673898
840	102000	12884	120262	16	13107200	11673898
840	103000	12884	120262	16	13107200	11673898
841	104000	12884	120262	16	13107200	11673898
841	105000	13140	120262	16	13369344	11673898
842	106000	13396	120262	16	13631488	11673898
842	107000	13652	120262	16	13893632	11673898
894	108000	13908	120262	16	14155776	11673898
908	109000	13140	120266	17	13369344	11673898
909	110000	13140	120266	17	13369344	11673898
909	111000	13140	120266	17	13369344	11673898
909	112000	13140	120266	17	13369344	11673898
910	113000	13140	120266	17	13369344	11673898
910	114000	13140	120266	17	13369344	11673898
911	115000	13396	120266	17	13631488	11673898
911	116000	13652	120266	17	13893632	11673898
977	117000	12884	120257	18	13107200	11673898
977	118000	12884	120257	18	13107200	11673898
978	119000	12884	120257	18	13107200	11673898
978	120000	12884	120257	18	13107200	11673898
978	121000	12884	120257	18	13107200	11673898
979	122000	13140	120257	18	13369344	11673898
979	123000	13396	120257	18	13631488	11673898
980	124000	13652	120257	18	13893632	11673898
1047	125000	13396	120261	19	13631488	11673898
1047	126000	13396	120261	19	13631488	11673898
1047	127000	13396	120261	19	13631488	11673898
1048	128000	13396	120261	19	13631488	11673898
1048	129000	13396	120261	19	13631488	11673898
1049	130000	13396	120261	19	13631488	11673898
1049	131000	13396	120261	19	13631488	11673898
1050	132000	13652	120261	19	13893632	11673898
1050	133000	13652	120261	19	13893632	11673898
1115	134000	12884	120265	20	13107200	11673898
1115	135000	12884	120265	20	13107200	11673898
1116	136000	12884	120265	20	13107200	11673898
1116	137000	12884	120265	20	13107200	11673898
1117	138000	12884	120265	20	13107200	11673898
1117	139000	13140	120265	20	13369344	11673898
1118	140000	13396	120265	20	13631488	11673898
