# firn-gc-pause v1
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
1	1000	844	0	0	786432	0
2	2000	1356	0	0	1310720	0
3	3000	1368	9	1	1310720	86991
3	4000	1368	9	1	1310720	86991
4	5000	856	11	2	786432	156251
4	6000	1112	11	2	1048576	156251
5	7000	1368	13	3	1310720	156251
6	8000	1368	13	3	1310720	156251
6	9000	1368	15	4	1310720	156251
7	10000	1368	15	4	1310720	156251
7	11000	1368	17	5	1310720	156251
8	12000	1368	17	5	1310720	156251
9	13000	1368	13	6	1310720	156251
9	14000	1368	13	6	1310720	156251
10	15000	856	8	7	786432	163292
10	16000	1112	8	7	1048576	163292
11	17000	1368	17	8	1310720	163292
12	18000	1368	17	8	1310720	163292
12	19000	1368	17	8	1310720	163292
13	20000	1368	13	9	1310720	163292
13	21000	1368	13	9	1310720	163292
14	22000	856	8	10	786432	163292
15	23000	1368	8	10	1310720	163292
15	24000	1368	17	11	1310720	163292
16	25000	1368	17	11	1310720	163292
16	26000	1368	13	12	1310720	163292
17	27000	1368	13	12	1310720	163292
18	28000	856	8	13	786432	163292
18	29000	1112	8	13	1048576	163292
19	30000	1368	17	14	1310720	163292
20	31000	1368	17	14	1310720	163292
20	32000	1368	13	15	1310720	163292
21	33000	1368	13	15	1310720	163292
21	34000	856	8	16	786432	163292
22	35000	1112	8	16	1048576	163292
23	36000	1368	17	17	1310720	163292
23	37000	1368	17	17	1310720	163292
24	38000	1368	17	17	1310720	163292
24	39000	1368	13	18	1310720	163292
25	40000	1368	13	18	1310720	163292
25	41000	856	8	19	786432	163292
26	42000	1368	8	19	1310720	163292
27	43000	1368	17	20	1310720	163292
27	44000	1368	17	20	1310720	163292
28	45000	1368	13	21	1310720	163292
28	46000	1368	13	21	1310720	163292
29	47000	856	8	22	786432	163292
30	48000	1112	8	22	1048576	163292
30	49000	1368	17	23	1310720	163292
31	50000	1368	17	23	1310720	163292
31	51000	1368	13	24	1310720	163292
32	52000	1368	13	24	1310720	163292
33	53000	856	8	25	786432	163292
33	54000	1112	8	25	1048576	163292
34	55000	1368	17	26	1310720	163292
35	56000	1368	17	26	1310720	163292
