# firn-gc-pause-gross v1
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
0	1000	10332	105569	4	10485760	335393
1	2000	10844	105569	4	11010048	335393
2	3000	11356	105569	4	11534336	335393
3	4000	11868	105569	4	12058624	335393
3	5000	12380	105569	4	12582912	335393
4	6000	12892	105569	4	13107200	335393
69	7000	12892	120607	5	13107200	335393
70	8000	12892	120607	5	13107200	335393
70	9000	12892	120607	5	13107200	335393
71	10000	12892	120607	5	13107200	335393
71	11000	12892	120607	5	13107200	335393
71	12000	12892	120607	5	13107200	335393
72	13000	12892	120607	5	13107200	335393
73	14000	13660	120607	5	13893632	335393
147	15000	12124	120687	6	12320768	338383
147	16000	12124	120687	6	12320768	338383
147	17000	12124	120687	6	12320768	338383
148	18000	12124	120687	6	12320768	338383
148	19000	12380	120687	6	12582912	338383
149	20000	12636	120687	6	12845056	338383
150	21000	13148	120687	6	13369344	338383
151	22000	13660	120687	6	13893632	338383
151	23000	13916	120687	6	14155776	338383
224	24000	13660	120680	7	13893632	424224
224	25000	13660	120680	7	13893632	424224
225	26000	13660	120680	7	13893632	424224
225	27000	13660	120680	7	13893632	424224
225	28000	13660	120680	7	13893632	424224
226	29000	13660	120680	7	13893632	424224
226	30000	13660	120680	7	13893632	424224
227	31000	13660	120680	7	13893632	424224
301	32000	12380	120691	8	12582912	429704
301	33000	12380	120691	8	12582912	429704
302	34000	12380	120691	8	12582912	429704
302	35000	12380	120691	8	12582912	429704
302	36000	12380	120691	8	12582912	429704
303	37000	12380	120691	8	12582912	429704
303	38000	12892	120691	8	13107200	429704
304	39000	13404	120691	8	13631488	429704
305	40000	13916	120691	8	14155776	429704
379	41000	13404	120703	9	13631488	429704
380	42000	13404	120703	9	13631488	429704
380	43000	13404	120703	9	13631488	429704
381	44000	13404	120703	9	13631488	429704
381	45000	13404	120703	9	13631488	429704
382	46000	13404	120703	9	13631488	429704
382	47000	13404	120703	9	13631488	429704
383	48000	13660	120703	9	13893632	429704
455	49000	12124	120680	10	12320768	429704
456	50000	12124	120680	10	12320768	429704
456	51000	12124	120680	10	12320768	429704
457	52000	12124	120680	10	12320768	429704
457	53000	12380	120680	10	12582912	429704
458	54000	12636	120680	10	12845056	429704
459	55000	13148	120680	10	13369344	429704
459	56000	13404	120680	10	13631488	429704
460	57000	13916	120680	10	14155776	429704
534	58000	12892	120690	11	13107200	429704
534	59000	12892	120690	11	13107200	429704
535	60000	12892	120690	11	13107200	429704
535	61000	12892	120690	11	13107200	429704
536	62000	12892	120690	11	13107200	429704
536	63000	12892	120690	11	13107200	429704
537	64000	12892	120690	11	13107200	429704
538	65000	13660	120690	11	13893632	429704
546	66000	13916	120690	11	14155776	429704
615	67000	12380	120720	12	12582912	429704
616	68000	12380	120720	12	12582912	429704
616	69000	12380	120720	12	12582912	429704
617	70000	12380	120720	12	12582912	429704
618	71000	12636	120720	12	12845056	429704
619	72000	13148	120720	12	13369344	429704
619	73000	13404	120720	12	13631488	429704
620	74000	13660	120720	12	13893632	429704
692	75000	13404	120674	13	13631488	429704
692	76000	13404	120674	13	13631488	429704
693	77000	13404	120674	13	13631488	429704
693	78000	13404	120674	13	13631488	429704
693	79000	13404	120674	13	13631488	429704
694	80000	13404	120674	13	13631488	429704
694	81000	13404	120674	13	13631488	429704
695	82000	13660	120674	13	13893632	429704
695	83000	13916	120674	13	14155776	429704
774	84000	12124	120731	14	12320768	429704
774	85000	12124	120731	14	12320768	429704
774	86000	12124	120731	14	12320768	429704
775	87000	12124	120731	14	12320768	429704
775	88000	12380	120731	14	12582912	429704
776	89000	12892	120731	14	13107200	429704
776	90000	12892	120731	14	13107200	429704
777	91000	13660	120731	14	13893632	429704
850	92000	12892	120681	15	13107200	429704
851	93000	12892	120681	15	13107200	429704
851	94000	12892	120681	15	13107200	429704
851	95000	12892	120681	15	13107200	429704
852	96000	12892	120681	15	13107200	429704
852	97000	12892	120681	15	13107200	429704
853	98000	13148	120681	15	13369344	429704
853	99000	13660	120681	15	13893632	429704
854	100000	13916	120681	15	14155776	429704
930	101000	13148	120708	16	13369344	429704
930	102000	13148	120708	16	13369344	429704
931	103000	13148	120708	16	13369344	429704
931	104000	13148	120708	16	13369344	429704
932	105000	13148	120708	16	13369344	429704
932	106000	13148	120708	16	13369344	429704
932	107000	13148	120708	16	13369344	429704
933	108000	13660	120708	16	13893632	429704
1005	109000	12892	120675	17	13107200	429704
1005	110000	12892	120675	17	13107200	429704
1006	111000	12892	120675	17	13107200	429704
1006	112000	12892	120675	17	13107200	429704
1007	113000	12892	120675	17	13107200	429704
1007	114000	12892	120675	17	13107200	429704
1007	115000	12892	120675	17	13107200	429704
1008	116000	13404	120675	17	13631488	429704
1009	117000	13916	120675	17	14155776	429704
1081	118000	12636	120673	18	12845056	429704
1081	119000	12636	120673	18	12845056	429704
1082	120000	12636	120673	18	12845056	429704
1082	121000	12636	120673	18	12845056	429704
1082	122000	12636	120673	18	12845056	429704
1083	123000	12892	120673	18	13107200	429704
1084	124000	13148	120673	18	13369344	429704
1084	125000	13660	120673	18	13893632	429704
1160	126000	13148	120710	19	13369344	429704
1161	127000	13148	120710	19	13369344	429704
1161	128000	13148	120710	19	13369344	429704
1161	129000	13148	120710	19	13369344	429704
1162	130000	13148	120710	19	13369344	429704
1162	131000	13148	120710	19	13369344	429704
1163	132000	13148	120710	19	13369344	429704
1164	133000	13660	120710	19	13893632	429704
1164	134000	13916	120710	19	14155776	429704
1239	135000	12636	120700	20	12845056	429704
1239	136000	12636	120700	20	12845056	429704
1240	137000	12636	120700	20	12845056	429704
1240	138000	12636	120700	20	12845056	429704
1241	139000	12636	120700	20	12845056	429704
1241	140000	12892	120700	20	13107200	429704
1242	141000	13148	120700	20	13369344	429704
1243	142000	13660	120700	20	13893632	429704
1259	143000	13916	120700	20	14155776	429704
1317	144000	12892	120690	21	13107200	429704
1317	145000	12892	120690	21	13107200	429704
1318	146000	12892	120690	21	13107200	429704
1318	147000	12892	120690	21	13107200	429704
1318	148000	12892	120690	21	13107200	429704
1319	149000	13148	120690	21	13369344	429704
1320	150000	13660	120690	21	13893632	429704
1320	151000	13660	120690	21	13893632	429704
1394	152000	12636	120688	22	12845056	429704
1394	153000	12636	120688	22	12845056	429704
1395	154000	12636	120688	22	12845056	429704
1395	155000	12636	120688	22	12845056	429704
1395	156000	12636	120688	22	12845056	429704
1396	157000	12892	120688	22	13107200	429704
1396	158000	13148	120688	22	13369344	429704
1397	159000	13660	120688	22	13893632	429704
1398	160000	13916	120688	22	14155776	429704
1470	161000	12380	120680	23	12582912	429704
1471	162000	12380	120680	23	12582912	429704
1471	163000	12380	120680	23	12582912	429704
1472	164000	12380	120680	23	12582912	429704
1473	165000	12636	120680	23	12845056	429704
1473	166000	12892	120680	23	13107200	429704
1474	167000	12892	120680	23	13107200	429704
1475	168000	13660	120680	23	13893632	429704
1548	169000	13404	120683	24	13631488	429704
1548	170000	13404	120683	24	13631488	429704
1548	171000	13404	120683	24	13631488	429704
1549	172000	13404	120683	24	13631488	429704
1549	173000	13404	120683	24	13631488	429704
1550	174000	13404	120683	24	13631488	429704
1550	175000	13404	120683	24	13631488	429704
1551	176000	13660	120683	24	13893632	429704
1551	177000	13916	120683	24	14155776	429704
1627	178000	12636	120715	25	12845056	429704
1628	179000	12636	120715	25	12845056	429704
1628	180000	12636	120715	25	12845056	429704
1629	181000	12636	120715	25	12845056	429704
1630	182000	12892	120715	25	13107200	429704
1630	183000	12892	120715	25	13107200	429704
1631	184000	13148	120715	25	13369344	429704
1632	185000	13660	120715	25	13893632	429704
