# firn-gc-pause-gross v1
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
1	1000	10328	105277	4	10485760	11672367
2	2000	10840	105277	4	11010048	11672367
3	3000	11352	105277	4	11534336	11672367
3	4000	11864	105277	4	12058624	11672367
4	5000	12376	105277	4	12582912	11672367
5	6000	12888	105277	4	13107200	11672367
80	7000	13148	120691	5	13369344	11672367
80	8000	13148	120691	5	13369344	11672367
81	9000	13148	120691	5	13369344	11672367
81	10000	13148	120691	5	13369344	11672367
82	11000	13148	120691	5	13369344	11672367
82	12000	13148	120691	5	13369344	11672367
83	13000	13148	120691	5	13369344	11672367
84	14000	13660	120691	5	13893632	11672367
165	15000	12380	120765	6	12582912	11672367
166	16000	12380	120765	6	12582912	11672367
167	17000	12380	120765	6	12582912	11672367
167	18000	12380	120765	6	12582912	11672367
168	19000	12380	120765	6	12582912	11672367
168	20000	12636	120765	6	12845056	11672367
169	21000	13148	120765	6	13369344	11672367
170	22000	13660	120765	6	13893632	11672367
170	23000	13916	120765	6	14155776	11672367
252	24000	13404	120768	7	13631488	11672367
253	25000	13404	120768	7	13631488	11672367
253	26000	13404	120768	7	13631488	11672367
254	27000	13404	120768	7	13631488	11672367
254	28000	13404	120768	7	13631488	11672367
255	29000	13404	120768	7	13631488	11672367
255	30000	13404	120768	7	13631488	11672367
256	31000	13660	120768	7	13893632	11672367
338	32000	12380	120768	8	12582912	11672367
339	33000	12380	120768	8	12582912	11672367
339	34000	12380	120768	8	12582912	11672367
340	35000	12380	120768	8	12582912	11672367
341	36000	12636	120768	8	12845056	11672367
341	37000	12892	120768	8	13107200	11672367
342	38000	13148	120768	8	13369344	11672367
343	39000	13404	120768	8	13631488	11672367
344	40000	13916	120768	8	14155776	11672367
425	41000	13148	120765	9	13369344	11672367
426	42000	13148	120765	9	13369344	11672367
426	43000	13148	120765	9	13369344	11672367
427	44000	13148	120765	9	13369344	11672367
427	45000	13148	120765	9	13369344	11672367
428	46000	13148	120765	9	13369344	11672367
428	47000	13148	120765	9	13369344	11672367
429	48000	13660	120765	9	13893632	11672367
499	49000	13916	120765	9	14155776	11672367
511	50000	12380	120760	10	12582912	11672367
511	51000	12380	120760	10	12582912	11672367
512	52000	12380	120760	10	12582912	11672367
512	53000	12636	120760	10	12845056	11672367
513	54000	12892	120760	10	13107200	11672367
514	55000	13148	120760	10	13369344	11672367
514	56000	13404	120760	10	13631488	11672367
515	57000	13916	120760	10	14155776	11672367
599	58000	13404	120783	11	13631488	11672367
599	59000	13404	120783	11	13631488	11672367
600	60000	13404	120783	11	13631488	11672367
600	61000	13404	120783	11	13631488	11672367
601	62000	13404	120783	11	13631488	11672367
601	63000	13404	120783	11	13631488	11672367
602	64000	13404	120783	11	13631488	11672367
602	65000	13660	120783	11	13893632	11672367
603	66000	13916	120783	11	14155776	11672367
685	67000	12380	120768	12	12582912	11672367
686	68000	12380	120768	12	12582912	11672367
686	69000	12380	120768	12	12582912	11672367
687	70000	12636	120768	12	12845056	11672367
